Series Data,,,,,,,,,,,,,,,,,
cartman,cartman,jimbo,stan,kyle,stan,cartman,cartman,kyle,stan,ms ellen,cartman,cartman,,,,,
terrance,dr doctor,mr mackey,officer barbrady,chef,jimbo,stan,stan,kyle,kyle,cartman,stan,kyle,chef,stan,cartman,kyle,stan
ms stevens,stan,stan,cartman,cartman,gerald,cartman,randy,kyle,stan,cartman,mark,cartman,cartman,kyle,stan,mr garrison,
cartman,cartman,timmy,stan,cartman,stan,wendy,cartman,cartman,cartman,ms choksondik,cartman,cartman,pip,cartman,kyle,kyle,
kyle,timmy,kyle,cartman,terrance,cartman,stan,stan,stan,cartman,kyle two,tolkien,cartman,butters,,,,
cartman,stan,butters,cartman,stan,butters,cartman,priest maxi,tweek,bebe,tweek,cartman,cartman,mr garrison,stan,stan,cartman,
kyle,jimmy,cartman,cartman,cartman as jennifer lopez,cartman,randy,mr garrison,cartman,randy,cartman,stan,cartman,butters,kyle,,,
stan,jimmy,cartman,stan,butters,michael,stan,stan,kyle,stan,cartman,paris,cartman,stan,,,,
mrs garrison,cartman,cartman,cartman,randy,butters,jimmy,stan,cartman,mrs garrison,cartman,stan,kyle,randy,,,,
chef,gerald,cartman,cartman,mingie,al gore,cartman,cartman,kyle,cartman,satan,cartman,cartman,stan,,,,
randy,cartman,travis,cartman,stan,janet,cartman,cartman,randy,kyle,general deckter,kyle,stan,kyle,,,,
cartman,kyle,kyle,stephen abootman,cartman,randy,cartman,cartman,cartman,stan,randy,obama,stan,butters,,,,
kenny,the coon,stan,randy,cartman,randy,cartman,kyle,butters,cartman,stan,stan,cartman,kyle,,,,
chairman,cartman,cartman,stan,tom cruise,cartman,nathan,cartman,kyle,stan,coon,mysterion,coon,randy,,,,
kyle,jimmy,mr mackey,cartman,cartman,butters,stan,stan,butters,cartman,randy,cartman,kyle,cartman,,,,
cartman,stan,cartman,cartman,stan,cartman,cartman,randy,kyle,cartman,butters,randy,stan,kyle,,,,
cartman,randy,cartman,pete,kyle,kyle,cartman,cartman,cartman,wendy,,,,,,,,
cartman,cartman,cartman,nathan,cartman,stan,cartman,cartman,kyle,kyle,,,,,,,,
cartman,mr garrison,tuong lu kim,cartman,randy,tweek,cartman,pc principal,kyle,randy,,,,,,,,
cartman,mr mackey,gerald,gerald,garrison,cartman,gerald,garrison,kyle,cartman,,,,,,,,
randy,tweek,randy,cartman,stan,cartman,cartman,heidi,pc principal,bob white,,,,,,,,
cartman,fr maxi,mr hankey,kyle,mackey,gore,stan,cartman,stephen,cartman,,,,,,,,
randy,stan,liane,randy,randy,randy,strong woman,sheila,scott,randy,,,,,,,,
randy,cartman,stan,stan,,,,,,,,,,,,,,
pc principal,stan,cartman,mr mackey,stan,randy,cartman,randy,,,,,,,,,,
cartman,kyle,randy,stan,cartman,garrison,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,114,,,,,,,,,,,,,,,,
Kenny,2,,,,,,,,,,,,,,,,
Kyle,37,,,,,,,,,,,,,,,,
Stan,54,,,,,,,,,,,,,,,,
Butters,11,,,,,,,,,,,,,,,,
Garrison,9,,,,,,,,,,,,,,,,
Randy,29,,,,,,,,,,,,,,,,
Other,69,,,,,,,,,,,,,,,,
Total,325,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The Early Days (Seasons 1-3) ,,,,,,,,,,,,,,,,,
cartman,cartman,jimbo,stan,kyle,stan,cartman,cartman,kyle,stan,ms ellen,cartman,cartman,,,,,
terrance,dr doctor,mr mackey,officer barbrady,chef,jimbo,stan,stan,kyle,kyle,cartman,stan,kyle,chef,stan,cartman,kyle,stan
ms stevens,stan,stan,cartman,cartman,gerald,cartman,randy,kyle,stan,cartman,mark,cartman,cartman,kyle,stan,mr garrison,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,14,,,,,,,,,,,,,,,,
Kenny,0,,,,,,,,,,,,,,,,
Kyle,8,,,,,,,,,,,,,,,,
Stan,12,,,,,,,,,,,,,,,,
Butters,0,,,,,,,,,,,,,,,,
Garrison,1,,,,,,,,,,,,,,,,
Randy,1,,,,,,,,,,,,,,,,
Other,12,,,,,,,,,,,,,,,,
Total,48,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The Intermediate Era (Seasons 4-7) ,,,,,,,,,,,,,,,,,
cartman,cartman,timmy,stan,cartman,stan,wendy,cartman,cartman,cartman,ms choksondik,cartman,cartman,pip,cartman,kyle,kyle,
kyle,timmy,kyle,cartman,terrance,cartman,stan,stan,stan,cartman,kyle two,tolkien,cartman,butters,,,,
cartman,stan,butters,cartman,stan,butters,cartman,priest maxi,tweek,bebe,tweek,cartman,cartman,mr garrison,stan,stan,cartman,
kyle,jimmy,cartman,cartman,cartman as jennifer lopez,cartman,randy,mr garrison,cartman,randy,cartman,stan,cartman,butters,kyle,,,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,26,,,,,,,,,,,,,,,,
Kenny,0,,,,,,,,,,,,,,,,
Kyle,6,,,,,,,,,,,,,,,,
Stan,10,,,,,,,,,,,,,,,,
Butters,4,,,,,,,,,,,,,,,,
Garrison,2,,,,,,,,,,,,,,,,
Randy,2,,,,,,,,,,,,,,,,
Other,13,,,,,,,,,,,,,,,,
Total,63,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The Golden Era (Seasons 8-13),,,,,,,,,,,,,,,,,
stan,jimmy,cartman,stan,butters,michael,stan,stan,kyle,stan,cartman,paris,cartman,stan,,,,
mrs garrison,cartman,cartman,cartman,randy,butters,jimmy,stan,cartman,mrs garrison,cartman,stan,kyle,randy,,,,
chef,gerald,cartman,cartman,mingie,al gore,cartman,cartman,kyle,cartman,satan,cartman,cartman,stan,,,,
randy,cartman,travis,cartman,stan,janet,cartman,cartman,randy,kyle,general deckter,kyle,stan,kyle,,,,
cartman,kyle,kyle,stephen abootman,cartman,randy,cartman,cartman,cartman,stan,randy,obama,stan,butters,,,,
kenny,the coon,stan,randy,cartman,randy,cartman,kyle,butters,cartman,stan,stan,cartman,kyle,,,,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,29,,,,,,,,,,,,,,,,
Kenny,1,,,,,,,,,,,,,,,,
Kyle,10,,,,,,,,,,,,,,,,
Stan,16,,,,,,,,,,,,,,,,
Butters,4,,,,,,,,,,,,,,,,
Garrison,2,,,,,,,,,,,,,,,,
Randy,8,,,,,,,,,,,,,,,,
Other,14,,,,,,,,,,,,,,,,
Total,84,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The Late Golden Age (Seasons 14-17),,,,,,,,,,,,,,,,,
chairman,cartman,cartman,stan,tom cruise,cartman,nathan,cartman,kyle,stan,coon,mysterion,coon,randy,,,,
kyle,jimmy,mr mackey,cartman,cartman,butters,stan,stan,butters,cartman,randy,cartman,kyle,cartman,,,,
cartman,stan,cartman,cartman,stan,cartman,cartman,randy,kyle,cartman,butters,randy,stan,kyle,,,,
cartman,randy,cartman,pete,kyle,kyle,cartman,cartman,cartman,wendy,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,22,,,,,,,,,,,,,,,,
Kenny,1,,,,,,,,,,,,,,,,
Kyle,7,,,,,,,,,,,,,,,,
Stan,7,,,,,,,,,,,,,,,,
Butters,3,,,,,,,,,,,,,,,,
Garrison,0,,,,,,,,,,,,,,,,
Randy,5,,,,,,,,,,,,,,,,
Other,7,,,,,,,,,,,,,,,,
Total,52,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The Serialized Era (Seasons 18-21),,,,,,,,,,,,,,,,,
cartman,cartman,cartman,nathan,cartman,stan,cartman,cartman,kyle,kyle,,,,,,,,
cartman,mr garrison,tuong lu kim,cartman,randy,tweek,cartman,pc principal,kyle,randy,,,,,,,,
cartman,mr mackey,gerald,gerald,garrison,cartman,gerald,garrison,kyle,cartman,,,,,,,,
randy,tweek,randy,cartman,stan,cartman,cartman,heidi,pc principal,bob white,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,15,,,,,,,,,,,,,,,,
Kenny,0,,,,,,,,,,,,,,,,
Kyle,4,,,,,,,,,,,,,,,,
Stan,2,,,,,,,,,,,,,,,,
Butters,0,,,,,,,,,,,,,,,,
Garrison,3,,,,,,,,,,,,,,,,
Randy,4,,,,,,,,,,,,,,,,
Other,12,,,,,,,,,,,,,,,,
Total,40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The Tegridy Era (Seasons 22-25 & Specials),,,,,,,,,,,,,,,,,
cartman,fr maxi,mr hankey,kyle,mackey,gore,stan,cartman,stephen,cartman,,,,,,,,
randy,stan,liane,randy,randy,randy,strong woman,sheila,scott,randy,,,,,,,,
randy,cartman,stan,stan,,,,,,,,,,,,,,
pc principal,stan,cartman,mr mackey,stan,randy,cartman,randy,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,6,,,,,,,,,,,,,,,,
Kenny,0,,,,,,,,,,,,,,,,
Kyle,1,,,,,,,,,,,,,,,,
Stan,6,,,,,,,,,,,,,,,,
Butters,0,,,,,,,,,,,,,,,,
Garrison,0,,,,,,,,,,,,,,,,
Randy,8,,,,,,,,,,,,,,,,
Other,11,,,,,,,,,,,,,,,,
Total,32,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Early Days (1-3), Intermediate Era (4-7),Golden Era (8-13),Late Golden Age (14-17),Serialized Era (18-21),Tegridy Era (22-25),,,,,,,,,,,
Cartman,0.292,0.413,0.346,0.424,0.375,0.188,,,,,,,,,,,
Kenny,0,0,0.012,0.02,0,0,,,,,,,,,,,
Kyle,0.167,0.096,0.12,0.135,0.1,0.032,,,,,,,,,,,
Stan,0.25,0.159,0.191,0.135,0.05,0.188,,,,,,,,,,,
Butters,0,0.064,0.048,0.058,0,0,,,,,,,,,,,
Garrison,0.021,0.032,0.024,0,0.075,0,,,,,,,,,,,
Randy,0.021,0.032,0.096,0.097,0.1,0.25,,,,,,,,,,,
Other,0.25,0.207,0.167,0.135,0.3,0.344,,,,,,,,,,,