cartman,cartman,jimbo,stan,kyle,stan,cartman,cartman,kyle,stan,ms ellen,cartman,cartman,,,,,
terrance,dr doctor,mr mackey,officer barbrady,chef,jimbo,stan,stan,kyle,kyle,cartman,stan,kyle,chef,stan,cartman,kyle,stan
ms stevens,stan,stan,cartman,cartman,gerald,cartman,randy,kyle,stan,cartman,mark,cartman,cartman,kyle,stan,mr garrison,
cartman,cartman,timmy,stan,cartman,stan,wendy,cartman,cartman,cartman,ms choksondik,cartman,cartman,pip,cartman,kyle,kyle,
kyle,timmy,kyle,cartman,terrance,cartman,stan,stan,stan,cartman,kyle two,tolkien,cartman,butters,,,,
cartman,stan,butters,cartman,stan,butters,cartman,priest maxi,tweek,bebe,tweek,cartman,cartman,mr garrison,stan,stan,cartman,
kyle,jimmy,cartman,cartman,cartman as jennifer lopez,cartman,randy,mr garrison,cartman,randy,cartman,stan,cartman,butters,kyle,,,
stan,jimmy,cartman,stan,butters,michael,stan,stan,kyle,stan,cartman,paris,cartman,stan,,,,
mrs garrison,cartman,cartman,cartman,randy,butters,jimmy,stan,cartman,mrs garrison,cartman,stan,kyle,randy,,,,
chef,gerald,cartman,cartman,mingie,al gore,cartman,cartman,kyle,cartman,satan,cartman,cartman,stan,,,,
randy,cartman,travis,cartman,stan,janet,cartman,cartman,randy,kyle,general deckter,kyle,stan,kyle,,,,
cartman,kyle,kyle,stephen abootman,cartman,randy,cartman,cartman,cartman,stan,randy,obama,stan,butters,,,,
kenny,the coon,stan,randy,cartman,randy,cartman,kyle,butters,cartman,stan,stan,cartman,kyle,,,,
chairman,cartman,cartman,stan,tom cruise,cartman,nathan,cartman,kyle,stan,coon,mysterion,coon,randy,,,,
kyle,jimmy,mr mackey,cartman,cartman,butters,stan,stan,butters,cartman,randy,cartman,kyle,cartman,,,,
cartman,stan,cartman,cartman,stan,cartman,cartman,randy,kyle,cartman,butters,randy,stan,kyle,,,,
cartman,randy,cartman,pete,kyle,kyle,cartman,cartman,cartman,wendy,,,,,,,,
cartman,cartman,cartman,nathan,cartman,stan,cartman,cartman,kyle,kyle,,,,,,,,
cartman,mr garrison,tuong lu kim,cartman,randy,tweek,cartman,pc principal,kyle,randy,,,,,,,,
cartman,mr mackey,gerald,gerald,garrison,cartman,gerald,garrison,kyle,cartman,,,,,,,,
randy,tweek,randy,cartman,stan,cartman,cartman,heidi,pc principal,bob white,,,,,,,,
cartman,fr maxi,mr hankey,kyle,mackey,gore,stan,cartman,stephen,cartman,,,,,,,,
randy,stan,liane,randy,randy,randy,strong woman,sheila,scott,randy,,,,,,,,
randy,cartman,stan,stan,,,,,,,,,,,,,,
pc principal,stan,cartman,mr mackey,stan,randy,cartman,randy,,,,,,,,,,
cartman,kyle,randy,stan,cartman,garrison,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,Count,,,,,,,,,,,,,,,,
Cartman,114,,,,,,,,,,,,,,,,
Kenny,2,,,,,,,,,,,,,,,,
Kyle,37,,,,,,,,,,,,,,,,
Stan,54,,,,,,,,,,,,,,,,
Butters,11,,,,,,,,,,,,,,,,
Garrison,9,,,,,,,,,,,,,,,,
Randy,29,,,,,,,,,,,,,,,,
Other,69,,,,,,,,,,,,,,,,
Total,325,,,,,,,,,,,,,,,,